address,balance
"0x90a48d5cf7343b08da12e067680b4c6dbfe551be",183804213.325867414474487305
"0xa4fc358455febe425536fd1878be67ffdbdec59a",129680479.401404306292533875
"0xcd18eaa163733da39c232722cbc4e8940b1d8888",124774032.245880722999572754
"0x470e8de2ebaef52014a47cb5e6af86884947f08c",64884985.675149828195571899
"0x808d3e6b23516967ceae4f17a5f9038383ed5311",44825717.355220600962638855
"0xaa4182224053076f92b453c96ec16bab00bf6cc6",36182681.413624800741672516
"0x88ad09518695c6c3712ac10a214be5109a655671",24881594.434559997171163559
"0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43",23581740.148990858346223831
"0xc250b22d15e43d95fbe27b12d98b6098f8493eac",22349660.398305069655179977
"0xc8bd5e90f3f5f20c34735726a40a88d6c09f4cea",19671792.548116780817508698
"0xa0b7b5164f5301d1d74b8a0b905ecc8c219345bf",17700002.902387551963329315
"0xa86e412109f77c45a3bc1c5870b880492fb86a14",15846932.015983276069164276
"0x81fcd9719e3ffd4be7393c38364bf738da736e42",11820486.365956442430615425
"0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146",11607280.401828046888113022
"0x8a72a41af2f1edaf02cfd423ec4edfa35ed82f53",11463992.269262643530964851
"0xe38f290eac1f83a960c461100b0c7a231b9cae16",11288461.830620592460036278
"0xa1ddb0194fe946b0fc6b2d2025eb8401df6e672e",11230534.190776946023106575
"0x2e2a42fbe7c7e2ffc031baf7442dbe1f8957770a",10553197.852374678477644920
"0x8ec637fe2800940c7959f9bad4fe69e41225cd39",9987942.364366007968783379
"0x8930176d92ee275eb7078c1a16deb0128b5da2c7",7439347.004311039112508297
"0x70217e7de3a68187905269462506f81cf344bbad",7371571.274796288460493088
"0xc49a180231672a46be1930074b00101a9ec1e815",6890950.372983008623123169
"0xc29ae8656a99432f6fb6ac9921177dfa29ac1d95",5897298.020824154838919640
"0xb014af8824028efc93bc076506751786807a2cf8",5589936.051718581467866898
"0x4d9629e80118082b939e3d59e69c82a2ec08b4d5",4961432.941800253465771675
"0xf152a54068c8eddf5d537770985ca8c06ad78abb",4700000.490000000223517418
"0x450101efa9041d4d13f6d66631bfb0d4a5fc4aea",4656822.639087789691984653
"0xb85b21bc63fe557a7c6195cbaebf42eada2e184b",4026841.774298881180584431
"0x3f1050dac3f187bd4f0725053e28b0b21eb61aef",3956165.459035398904234171
"0xef1a2af07d0db91e8c89925c0e95cdd9b36e105d",3944063.834630656987428665
"0x91193e88df4160f0bbf03dbc4174c75ecc18afd6",3779436.321964811999350786
"0xc947720c25728217a7e63b96cd33a0842952356e",3727191.450420391745865345
"0xf848deba4a913fd5b62515d3894c161a8e36226f",3598502.034824974834918976
"0xbff950a8e967b52851f17f27a7f7cfc376fe7f6c",3595311.084605898242443800
"0x2f74df6c5bc496bc53a54e427a2e4672da4dd5fd",3310613.374918094370514154
"0x8d1427d6631a86709944feaef40cd5804077ac56",3009423.002040370833128691
"0x088fdf5c5ff039b760aac0f4f7e7a630cf5cb66c",2958042.215439540334045887
"0xb91efe41e38d2d6441c45bbf7a5704b9a1beb905",2835977.021968476939946413
"0xbc2fe9695e3aa06d7fbb97918ab4d30d054b4b25",2736613.464661820791661739
"0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf",2649261.161439857445657253
"0x52610eed04d9ba715020693c6a515f27c845b625",2648200.117663882672786713
"0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88",2592415.613376624416559935
"0xb382cf2287c30fb47206ce761fc8f45e3077f19c",2567625.203808855265378952
"0x0e1891281d77244f4c3f99e1b60ecad98765b884",2510784.045991374645382166
"0xb840c5fcae5be2e32f2845763732b52d22e05971",2466670.913627026602625847
"0xecca0c51690e2edab8b62ca31907665e5b83dfcf",2308636.739622164983302355
"0x9619347f6633723d6d2c9da16c2eed3b27a999c9",2236356.588605987373739481
"0xccf13bd21b72a6c6a343d57c2fbecabed5d76563",2173021.697148737031966448
"0x329772fa6547827c38a04c4ba238a11a0c77c5fa",2030423.197792615508660674
"0xb60d8ff583cc403e7a539c93bdc63e7c3de89f3a",2007182.258297577733173966
"0xb565aa3406e0b1ffaefb1de0612ba0151f357eaa",1880352.397093715146183968
"0xbd7ad02ec306781055d498753bc415c55da04e33",1791566.657220640452578664
"0xb34bc710c1f3182550c70dd348446990b4bc4c60",1684627.373987232102081180
"0x81b49be36f1dd073ffd2ee7700b719a03d138551",1677894.432320669060572982
"0xee77aa3fd23bbebaf94386dd44b548e9a785ea4b",1675740.116725686239078641
"0x6f323854495fed0d8ea0717b786f8d9cb94ec322",1639499.044149871682748199
"0x9304b785e517b8644fcf6f2a12dd05877bc035e2",1548944.470614402554929256
"0x8ed90dc4ef3e52d89da57fff99e6ab53433f2d01",1489998.122040706453844905
