address,maxBonded
thor1fzyryj70awtkg8c0dzdgkvmugpp9yug5fjw5x3,1077312.15
thor10naeet84w5k5wm2gak7q6wru246d0udgv320ac,1074841.95
thor127q29xqvwwg9a4lyzhwc572gtrkrwqm774h92a,1053975.17
thor1eja5l46cf4vs3xumvhmy7vv9whm88dppkua7h4,1039577.05
thor1nhn92gj5498t08tanzm46970p3q4jqrekvlt80,1029187.98
thor1eapavdegkph3uc4jw507n77uc6r76vdx9u5fjr,1024665.16
thor1nprw0w6ex8xh4tfl3vtkhqnjvds68kwshq9ax9,1016025.96
thor16sa3k77lffrdqm854djjr9lgzv777sadrhpgtt,1013976.78
thor1fhsx4q5s9f3nhp8uh3ll9m5dhcts24nt0x3jes,1013066.37
thor1y5lk3rzatghv9y4s4j90qt9ayq83e2dpf2hvzc,1011531.32
thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,1010714.84
thor1y0tksvjjwhvc7ltzce8k80t7sj8pt2zhpx2ku2,1010242.65
thor1xpxjq73gyy2y6yfh6a5l32ygrw23n4feanzr6z,1009242.44
thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,1007442.51
thor1un5fznfjnx3slzv6pgmhd7x898n9jz7ce8ng82,999974.42
thor1d067knskx06yfe6ura6u99c9nxnlz0h4yqvmrg,999950.89
thor1dd6g7y87ey7rswzlu2qzgj8863f3qzfvefrjrz,999217.86
thor1grzsp2ywwr2f0ank2wdjc6zwu3ell2etjerll5,997357.01
thor1fpyaj39rdlc5f80kulq55tqlvku4t66gq5pvqk,993908.92
thor16p3t7fn9l4ujrhf46hwj5m9snnukuttvq4fadv,989826.52
thor1l20xz6gewlx7mhqvl7vvc92v09rknyscm4ll45,987808.31
thor197tfyh2vnxkqd5yduc2nlut98w7e2ttjkpekdh,985152.29
thor18r4hpkhsvc7ts25gkrzu7h7q3s9n4zs6j5qfnv,981027.55
thor19secyj8tnlwapf5mmmg49n49x54hf5mhqcwjpc,979932.78
thor1uwpshu52te8n36mk8hfy3ejjr64jma2s6wsmfq,974905.4
thor1j96ruj3h5qm8ldr9cg39ghvvlp344h0j803vq2,968028.83
thor1drm88nvzn8qclrddac876ectt548cscgukm62d,967285.02
